stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
6588,6588,Wacker (Lower) & Michigan,"Wacker (Lower) & Michigan, Westbound, Northwest Corner",41.888361,-87.624931,0,,1
13195,13195,59th Street & Ellis,"59th Street & Ellis, Westbound, Northeast Corner",41.78780169,-87.60101281,0,,1
13197,13197,59th Street & Kimbark,"59th Street & Kimbark, Westbound, Northeast Corner",41.78787138,-87.59450063,0,,1
14023,14023,59th Street & Drexel,"59th Street & Drexel, Westbound, Northside of the Street",41.78776144,-87.60361666,0,,1
14499,14499,Ashland & Cermak,"Ashland & Cermak, Northbound, Northeast Corner",41.85256758,-87.66586867,0,,1
14527,14527,Western & Foster,"Western & Foster, Northbound, Northeast Corner",41.97610579,-87.68901484,0,,1
14591,14591,Western & Lawrence,"Western & Lawrence, Southbound, Southwest Corner",41.96835624,-87.68907108,0,,1
14592,14592,Western & Lawrence,"Western & Lawrence, Northbound, Northeast Corner",41.96885702,-87.68876891,0,,1
14781,14781,Ashland & 91st Street,"Ashland & 91st Street, Northbound, Northeast Corner",41.72866896,-87.66272381,0,,1
14783,14783,Ashland & Lake (Green Line),"Ashland & Lake (Green Line), Northbound, Southeast Corner",41.8852199,-87.66677249,0,,1
14864,14864,Ashland & 69th Street,"Ashland & 69th Street, Northbound, Northeast Corner",41.7687041,-87.66379063,0,,1
14894,14894,Ashland & Addison,"Ashland & Addison, Northbound, Northeast Corner",41.94721935,-87.66871516,0,,1
15164,15164,Cottage Grove & 57th Street,"Cottage Grove & 57th Street, Northbound, Northeast Corner",41.79163171,-87.60606746,0,,1
15243,15243,Ashland & Diversey,"Ashland & Diversey, Northbound, Northeast Corner",41.93270293,-87.66825704,0,,1
15843,15843,Ashland & Chicago,"Ashland & Chicago, Northbound, Northeast Corner",41.89627918,-87.66714744,0,,1
15930,15930,Irving Park & Fremont,"Irving Park & Fremont, Westbound, Northside of the Street",41.95459923,-87.65200368,0,,1
16140,16140,Roosevelt Orange/Red/Green Line Station,"Roosevelt Orange/Red/Green Line Station, Westbound, Northside of the Street",41.86755162,-87.62666395,0,,1
17061,17061,Ashland & Taylor,"Ashland & Taylor, Northbound, Northeast Corner",41.86954418,-87.6663204,0,,1
17076,17076,Ashland & Madison,"Ashland & Madison, Northbound, Northeast Corner",41.88161331,-87.66666668,0,,1
17179,17179,Ashland & Grand,"Ashland & Grand, Northbound, Northeast Corner",41.89117642,-87.66702655,0,,1
17180,17180,Ashland & North Ave,"Ashland & North Ave, Northbound, Northeast Corner",41.91079268,-87.66754012,0,,1
17229,17229,Ashland & 18th Street,"Ashland & 18th Street, Northbound, Northeast Corner",41.85806609,-87.66600159,0,,1
17256,17256,Ashland & 47th Street,"Ashland & 47th Street, Northbound, Northeast Corner",41.80900114,-87.66483748,0,,1
17392,17392,Ashland & Fullerton,"Ashland & Fullerton, Northbound, Northeast Corner",41.92530861,-87.66800761,0,,1
17646,17646,Lake Park & 53rd Street,"Lake Park & 53rd Street, Southbound, Southwest Corner",41.79926097,-87.58740257,0,,1
18001,18001,Ashland & 59th Street,"Ashland & 59th Street, Northbound, Northeast Corner",41.7870259,-87.66425816,0,,1
18002,18002,Ashland & 51st Street,"Ashland & 51st Street, Northbound, Northeast Corner",41.80156686,-87.6646383,0,,1
18311,18311,Western & Foster,"Western & Foster, Southbound, Southwest Corner",41.97570728,-87.68928681,0,,1
18636,18636,Ashland & Belmont/Lincoln,"Ashland & Belmont/Lincoln, Northbound, Northeast Corner",41.94002197,-87.66854462,0,,1
